Oct/17],,
Liverpool,0-0,Man United
AFC Bournemouth,0-0,Tottenham
Arsenal,0-0,Middlesbrough FC
Burnley FC,2-1,Everton
Chelsea,4-0,Man United
Hull City,0-2,Stoke City
Leicester City,3-1,Crystal Palace
Liverpool,2-1,West Bromwich Albion
Man City,1-1,Southampton FC
Swansea City,0-0,Watford FC
West Ham United,1-0,Sunderland AFC
Crystal Palace,2-4,Liverpool
Everton,2-0,West Ham United
Man United,0-0,Burnley FC
Middlesbrough FC,2-0,AFC Bournemouth
Southampton FC,0-2,Chelsea
Stoke City,3-1,Swansea City
Sunderland AFC,1-4,Arsenal
Tottenham,1-1,Leicester City
Watford FC,1-0,Hull City
West Bromwich Albion,0-4,Man City
AFC Bournemouth,1-2,Sunderland AFC
Arsenal,1-1,Tottenham
Burnley FC,3-2,Crystal Palace
Chelsea,5-0,Everton
Hull City,2-1,Southampton FC
Leicester City,1-2,West Bromwich Albion
Liverpool,6-1,Watford FC
Man City,1-1,Middlesbrough FC
Swansea City,1-3,Man United
West Ham United,1-1,Stoke City
Crystal Palace,1-2,Man City
Everton,1-1,Swansea City
Man United,1-1,Arsenal
Middlesbrough FC,0-1,Chelsea
Southampton FC,0-0,Liverpool
Stoke City,0-1,AFC Bournemouth
Sunderland AFC,3-0,Hull City
Tottenham,3-2,West Ham United
Watford FC,2-1,Leicester City
West Bromwich Albion,4-0,Burnley FC
Arsenal,3-1,AFC Bournemouth
Burnley FC,1-2,Man City
Chelsea,2-1,Tottenham
Hull City,1-1,West Bromwich Albion
Leicester City,2-2,Middlesbrough FC
Liverpool,2-0,Sunderland AFC
Man United,1-1,West Ham United
Southampton FC,1-0,Everton
Swansea City,5-4,Crystal Palace
Watford FC,0-1,Stoke City
AFC Bournemouth,4-3,Liverpool
Crystal Palace,3-0,Southampton FC
Everton,1-1,Man United
Man City,1-3,Chelsea
Middlesbrough FC,1-0,Hull City
Stoke City,2-0,Burnley FC
Sunderland AFC,2-1,Leicester City
Tottenham,5-0,Swansea City
West Bromwich Albion,3-1,Watford FC
West Ham United,1-5,Arsenal
Arsenal,3-1,Stoke City
Burnley FC,3-2,AFC Bournemouth
Chelsea,1-0,West Bromwich Albion
Hull City,3-3,Crystal Palace
Leicester City,4-2,Man City
Liverpool,2-2,West Ham United
Man United,1-0,Tottenham
Southampton FC,1-0,Middlesbrough FC
Swansea City,3-0,Sunderland AFC
Watford FC,3-2,Everton
AFC Bournemouth,1-0,Leicester City
Everton,2-1,Arsenal
Crystal Palace,1-2,Man United
Middlesbrough FC,0-3,Liverpool
Sunderland AFC,0-1,Chelsea
West Bromwich Albion,3-1,Swansea City
West Ham United,1-0,Burnley FC
Man City,2-0,Watford FC
Stoke City,0-0,Southampton FC
Tottenham,3-0,Hull City
AFC Bournemouth,1-3,Southampton FC
Crystal Palace,0-1,Chelsea
Everton,0-1,Liverpool
Man City,2-1,Arsenal
Middlesbrough FC,3-0,Swansea City
Stoke City,2-2,Leicester City
Sunderland AFC,1-0,Watford FC
Tottenham,2-1,Burnley FC
West Bromwich Albion,0-2,Man United
West Ham United,1-0,Hull City
Arsenal,1-0,West Bromwich Albion
Burnley FC,1-0,Middlesbrough FC
Chelsea,3-0,AFC Bournemouth
Hull City,0-2,Man City
Leicester City,0-2,Everton
Liverpool,4-1,Stoke City
Man United,3-1,Sunderland AFC
Southampton FC,1-4,Tottenham
Swansea City,1-4,West Ham United
Watford FC,1-1,Crystal Palace
Arsenal,2-0,Crystal Palace
Burnley FC,4-1,Sunderland AFC
Chelsea,4-2,Stoke City
Hull City,2-2,Everton
Leicester City,1-0,West Ham United
Liverpool,1-0,Man City
Man United,2-1,Middlesbrough FC
Southampton FC,0-3,West Bromwich Albion
Swansea City,0-3,AFC Bournemouth
Watford FC,1-4,Tottenham
